City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
52,Kargasok,RU,59.0556,80.8572,52.23,78,5,7.85,clear sky,2022-05-16 00:28:54
53,Savantvadi,IN,15.9,73.8167,80.15,82,99,5.06,overcast clouds,2022-05-16 00:28:55
54,Buala,SB,-8.145,159.5921,84.88,67,7,1.05,clear sky,2022-05-16 00:28:55
55,Nazas,MX,25.2333,-104.1333,93.33,10,5,18.21,clear sky,2022-05-16 00:28:56
56,Bengkulu,ID,-3.8004,102.2655,76.5,91,97,4.32,overcast clouds,2022-05-16 00:24:55
57,Punta Arenas,CL,-53.15,-70.9167,42.91,81,0,5.75,clear sky,2022-05-16 00:28:57
58,Ponta Do Sol,PT,32.6667,-17.1,68.72,84,9,6.17,clear sky,2022-05-16 00:28:57
59,Westport,US,41.1415,-73.3579,71.89,88,0,12.66,fog,2022-05-16 00:25:24
60,Stettler,CA,52.3168,-112.7186,65.52,24,85,2.3,overcast clouds,2022-05-16 00:28:58
61,Lawrenceburg,US,38.0373,-84.8966,81.18,70,0,6.91,clear sky,2022-05-16 00:28:58
62,Jesup,US,31.6074,-81.8854,70.68,94,0,0.0,clear sky,2022-05-16 00:28:58
63,Beringovskiy,RU,63.05,179.3167,36.1,84,84,4.5,broken clouds,2022-05-16 00:28:59
64,Clyde River,CA,70.4692,-68.5914,25.03,86,100,5.75,overcast clouds,2022-05-16 00:28:59
65,Thompson,CA,55.7435,-97.8558,35.76,93,100,10.36,mist,2022-05-16 00:25:43
66,Kalmar,SE,56.6616,16.3616,42.96,92,20,1.01,few clouds,2022-05-16 00:29:00
67,Bredasdorp,ZA,-34.5322,20.0403,54.32,84,0,3.6,clear sky,2022-05-16 00:28:29
68,Flinders,AU,-34.5833,150.8552,71.06,73,0,7.0,clear sky,2022-05-16 00:29:00
69,Shawnee,US,39.05,-95.7669,74.17,64,20,12.66,few clouds,2022-05-16 00:29:01
70,Leua,SK,48.2156,18.6071,59.5,74,2,5.82,clear sky,2022-05-16 00:29:01
71,Ngunguru,NZ,-35.6167,174.5,70.59,66,60,9.91,broken clouds,2022-05-16 00:29:02
72,Saskylakh,RU,71.9167,114.0833,33.4,100,100,5.7,overcast clouds,2022-05-16 00:24:50
73,Hilo,US,19.7297,-155.09,85.28,72,100,14.97,overcast clouds,2022-05-16 00:29:02
74,Beidao,CN,34.5686,105.8933,54.48,68,55,1.95,broken clouds,2022-05-16 00:29:02
75,Ushuaia,AR,-54.8,-68.3,51.46,43,0,8.05,clear sky,2022-05-16 00:25:10
76,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,86,40,5.75,scattered clouds,2022-05-16 00:29:03
77,Provideniya,RU,64.3833,-173.3,41.36,70,75,13.42,broken clouds,2022-05-16 00:25:37
78,Havre-Saint-Pierre,CA,50.2334,-63.5986,41.36,60,75,14.97,broken clouds,2022-05-16 00:29:03
79,Bilibino,RU,68.0546,166.4372,31.91,92,90,4.09,overcast clouds,2022-05-16 00:29:04
80,Talnakh,RU,69.4865,88.3972,37.42,89,98,10.8,overcast clouds,2022-05-16 00:29:04
81,Kahului,US,20.8947,-156.47,89.62,43,40,18.41,scattered clouds,2022-05-16 00:29:05
82,Inta,RU,66.0317,60.1659,43.54,94,100,2.93,overcast clouds,2022-05-16 00:29:05
83,Budureasa,RO,46.6667,22.5,56.95,64,10,5.12,clear sky,2022-05-16 00:29:06
84,Tocache,PE,-8.1842,-76.5125,71.35,98,85,1.68,overcast clouds,2022-05-16 00:29:06
85,Mataura,NZ,-46.1927,168.8643,50.49,64,6,2.51,clear sky,2022-05-16 00:27:39
86,Wichita,US,37.6922,-97.3375,76.17,57,0,16.11,clear sky,2022-05-16 00:25:15
87,Avera,US,33.194,-82.5271,79.56,68,74,3.78,broken clouds,2022-05-16 00:29:07
88,Sao Jose De Ribamar,BR,-2.5619,-44.0542,84.58,85,82,10.38,broken clouds,2022-05-16 00:29:07
89,Moose Factory,CA,51.2585,-80.6094,62.6,63,100,12.66,overcast clouds,2022-05-16 00:29:07
90,Coahuayana,MX,18.7333,-103.6833,81.46,51,100,5.06,overcast clouds,2022-05-16 00:30:08
91,Saint Anthony,US,45.0205,-93.218,71.65,31,40,19.57,scattered clouds,2022-05-16 00:25:43
92,Novobureyskiy,RU,49.798,129.8774,47.88,36,75,12.68,broken clouds,2022-05-16 00:30:08
93,Avarua,CK,-21.2078,-159.775,80.65,65,75,4.61,broken clouds,2022-05-16 00:30:09
94,Victoria,HK,22.2855,114.1577,68.38,88,100,8.99,overcast clouds,2022-05-16 00:30:09
95,Cherskiy,RU,68.75,161.3,33.94,85,100,8.03,overcast clouds,2022-05-16 00:30:10
96,Hobart,AU,-42.8794,147.3294,52.02,83,20,19.57,few clouds,2022-05-16 00:26:51
97,Portland,US,45.5234,-122.6762,69.62,75,75,8.01,broken clouds,2022-05-16 00:27:08
98,Kruisfontein,ZA,-34.0033,24.7314,54.93,66,0,5.95,clear sky,2022-05-16 00:30:12
99,Boldumsaz,TM,42.1282,59.671,66.15,22,5,8.81,clear sky,2022-05-16 00:30:13
100,Dudinka,RU,69.4058,86.1778,34.03,94,100,1.74,overcast clouds,2022-05-16 00:29:51
101,Janauba,BR,-15.8025,-43.3089,72.97,61,97,4.32,overcast clouds,2022-05-16 00:30:13
102,Atuona,PF,-9.8,-139.0333,78.75,71,11,15.59,few clouds,2022-05-16 00:30:13
103,Sarkand,KZ,45.41,79.9186,58.84,54,0,4.32,clear sky,2022-05-16 00:30:14
104,Huarmey,PE,-10.0681,-78.1522,65.32,81,81,8.75,broken clouds,2022-05-16 00:30:14
105,Upernavik,GL,72.7868,-56.1549,10.45,92,37,6.96,scattered clouds,2022-05-16 00:30:15
106,Mae Chan,TH,20.1467,99.8526,77.23,82,41,0.2,scattered clouds,2022-05-16 00:30:15
107,Gopamau,IN,27.55,80.2833,88.92,22,54,8.3,broken clouds,2022-05-16 00:30:16
108,Lubango,AO,-14.9172,13.4925,61.25,48,82,1.52,broken clouds,2022-05-16 00:25:31
109,Balakhta,RU,55.38,91.6,63.46,64,100,7.74,light rain,2022-05-16 00:30:16
110,Lebu,CL,-37.6167,-73.65,53.4,68,100,1.43,overcast clouds,2022-05-16 00:30:17
111,Longyearbyen,SJ,78.2186,15.6401,30.04,74,75,1.14,broken clouds,2022-05-16 00:30:17
112,Guanica,PR,17.9716,-66.908,81.1,79,11,13.13,few clouds,2022-05-16 00:30:17
113,Grand Gaube,MU,-20.0064,57.6608,73.8,90,34,1.01,moderate rain,2022-05-16 00:30:18
114,Teguldet,RU,57.3064,88.1667,63.19,62,17,8.39,few clouds,2022-05-16 00:30:18
115,Tasiilaq,GL,65.6145,-37.6368,35.76,98,100,11.12,light rain,2022-05-16 00:29:43
116,Noumea,NC,-22.2763,166.4572,78.78,99,35,12.03,scattered clouds,2022-05-16 00:30:19
117,Ca Mau,VN,9.1769,105.15,86.61,69,100,7.74,overcast clouds,2022-05-16 00:30:19
118,Erzin,TR,36.9559,36.2,59.36,90,9,2.62,clear sky,2022-05-16 00:30:19
119,Hasaki,JP,35.7333,140.8333,57.6,92,100,16.78,heavy intensity rain,2022-05-16 00:30:20
120,Xichang,CN,27.8964,102.2634,57.9,73,93,2.93,overcast clouds,2022-05-16 00:30:20
121,Kodiak,US,57.79,-152.4072,49.51,62,0,12.66,clear sky,2022-05-16 00:30:21
122,Pevek,RU,69.7008,170.3133,27.97,79,98,3.96,overcast clouds,2022-05-16 00:30:21
123,Orlovo,RU,51.754,39.5873,44.89,95,96,8.61,overcast clouds,2022-05-16 00:30:22
124,New Norfolk,AU,-42.7826,147.0587,51.66,51,78,11.65,broken clouds,2022-05-16 00:30:22
125,Sena Madureira,BR,-9.0656,-68.6569,74.01,98,83,1.72,broken clouds,2022-05-16 00:30:22
126,Pavilosta,LV,56.8879,21.1859,46.31,86,13,7.52,few clouds,2022-05-16 00:30:23
127,Beloha,MG,-25.1667,45.05,66.63,86,0,11.23,clear sky,2022-05-16 00:30:23
128,Asau,RO,46.4333,26.4,56.32,93,80,1.63,broken clouds,2022-05-16 00:29:15
129,Evensk,RU,61.95,159.2333,39.88,87,100,12.21,overcast clouds,2022-05-16 00:30:24
130,Chokurdakh,RU,70.6333,147.9167,19.42,83,97,11.25,overcast clouds,2022-05-16 00:29:20
131,Tahoua,NE,14.8888,5.2692,82.35,23,41,2.19,scattered clouds,2022-05-16 00:30:24
132,Iskateley,RU,67.6803,53.1512,34.74,93,100,11.83,overcast clouds,2022-05-16 00:30:25
133,Killam,CA,52.7834,-111.8518,67.95,18,100,5.75,overcast clouds,2022-05-16 00:30:25
134,Qaqortoq,GL,60.7167,-46.0333,31.19,75,55,2.04,broken clouds,2022-05-16 00:30:25
135,Berdigestyakh,RU,62.0989,126.6992,34.5,65,98,7.47,overcast clouds,2022-05-16 00:28:17
136,Tonekabon,IR,36.8163,50.8738,60.75,56,0,4.29,clear sky,2022-05-16 00:30:26
137,Saldanha,ZA,-33.0117,17.9442,57.25,46,0,8.68,clear sky,2022-05-16 00:30:26
138,Bundaberg,AU,-24.85,152.35,80.22,82,75,4.61,broken clouds,2022-05-16 00:26:49
139,Port Elizabeth,ZA,-33.918,25.5701,55.31,97,0,2.3,clear sky,2022-05-16 00:31:27
140,Chapais,CA,49.7834,-74.8492,56.98,93,100,6.89,overcast clouds,2022-05-16 00:31:27
141,Shenjiamen,CN,29.9576,122.298,62.56,68,100,11.36,overcast clouds,2022-05-16 00:31:28
142,Berezovyy,RU,51.6667,135.7,50.04,47,100,7.52,overcast clouds,2022-05-16 00:31:28
143,Dikson,RU,73.5069,80.5464,34.59,93,100,15.12,overcast clouds,2022-05-16 00:31:30
144,Etchoropo,MX,26.7667,-109.6667,92.41,35,87,6.89,overcast clouds,2022-05-16 00:31:30
145,Bandarbeyla,SO,9.4942,50.8122,81.43,80,100,20.22,overcast clouds,2022-05-16 00:31:31
146,Ambanja,MG,-13.6833,48.45,69.21,84,5,3.76,clear sky,2022-05-16 00:31:31
147,Bhabua,IN,25.05,83.6167,92.25,29,5,4.52,clear sky,2022-05-16 00:31:32
148,Uarini,BR,-2.99,-65.1083,75.0,98,100,1.72,light rain,2022-05-16 00:31:32
149,Chuy,UY,-33.6971,-53.4616,46.92,70,0,7.87,clear sky,2022-05-16 00:31:33
150,Grand-Lahou,CI,5.1367,-5.0242,79.7,86,98,6.58,overcast clouds,2022-05-16 00:31:33
151,Jamestown,US,42.097,-79.2353,73.04,54,0,3.44,clear sky,2022-05-16 00:30:31
152,Kontagora,NG,10.3999,5.4695,81.18,60,100,3.22,overcast clouds,2022-05-16 00:31:34
153,Namibe,AO,-15.1961,12.1522,71.15,62,8,7.94,clear sky,2022-05-16 00:31:34
154,Mount Gambier,AU,-37.8333,140.7667,56.66,57,96,11.81,overcast clouds,2022-05-16 00:31:34
155,Greenville,US,35.6127,-77.3663,80.55,63,40,12.66,scattered clouds,2022-05-16 00:30:19
156,Nouakchott,MR,18.0858,-15.9785,84.13,53,99,14.63,overcast clouds,2022-05-16 00:28:36
157,Mgandu,TZ,-5.95,34.1333,59.59,88,35,7.94,scattered clouds,2022-05-16 00:31:35
158,Iqaluit,CA,63.7506,-68.5145,26.33,79,100,12.66,overcast clouds,2022-05-16 00:30:13
159,Ukiah,US,39.1502,-123.2078,75.43,51,0,10.36,clear sky,2022-05-16 00:30:02
160,Torbay,CA,47.6666,-52.7314,35.28,84,75,3.44,broken clouds,2022-05-16 00:31:36
161,Khatanga,RU,71.9667,102.5,32.49,100,100,2.37,overcast clouds,2022-05-16 00:31:36
162,Galesong,ID,-5.3166,119.3661,77.02,79,87,4.61,overcast clouds,2022-05-16 00:29:41
163,Veraval,IN,20.9,70.3667,82.42,80,0,11.99,clear sky,2022-05-16 00:31:37
164,Mattru,SL,7.6244,-11.8332,78.15,93,95,1.97,overcast clouds,2022-05-16 00:27:07
165,Georgiyevka,KZ,43.0369,74.7114,53.64,87,0,6.71,clear sky,2022-05-16 00:31:37
166,Codrington,AU,-38.2667,141.9667,55.17,68,95,14.47,overcast clouds,2022-05-16 00:31:38
167,Stepnyak,KZ,52.8339,70.7803,57.85,78,98,12.3,overcast clouds,2022-05-16 00:31:38
168,Kendari,ID,-3.945,122.4989,85.26,71,8,1.34,clear sky,2022-05-16 00:31:38
169,Lahij,YE,13.1667,44.5833,81.64,28,0,3.76,clear sky,2022-05-16 00:31:39
170,Ipira,BR,-12.1583,-39.7372,68.41,95,88,6.38,overcast clouds,2022-05-16 00:31:39
171,Hofn,IS,64.2539,-15.2082,47.57,89,98,4.34,overcast clouds,2022-05-16 00:31:40
172,Guerrero Negro,MX,27.9769,-114.0611,68.16,62,70,15.37,broken clouds,2022-05-16 00:31:40
173,Villa Carlos Paz,AR,-31.4241,-64.4978,46.81,50,6,3.0,clear sky,2022-05-16 00:31:40
174,Vila,PT,42.0304,-8.1588,50.7,88,100,6.35,overcast clouds,2022-05-16 00:31:41
175,Jatai,BR,-17.8814,-51.7144,65.07,97,60,2.19,broken clouds,2022-05-16 00:31:41
176,Miyako,JP,39.6367,141.9525,58.26,50,100,6.96,overcast clouds,2022-05-16 00:31:42
177,Aconibe,GQ,1.2968,10.9369,67.82,98,100,1.81,light rain,2022-05-16 00:31:42
178,Riyadh,SA,24.6877,46.7219,71.74,9,0,6.93,clear sky,2022-05-16 00:28:59
179,Marzuq,YE,14.4,46.4667,68.4,15,0,3.38,clear sky,2022-05-16 00:31:42
180,Qaanaaq,GL,77.484,-69.3632,21.43,76,93,5.28,overcast clouds,2022-05-16 00:31:43
181,Ambilobe,MG,-13.2,49.05,68.04,87,6,2.95,clear sky,2022-05-16 00:31:43
182,Dzhebariki-Khaya,RU,62.2167,135.8,43.61,66,100,9.66,light rain,2022-05-16 00:31:44
183,Karpogory,RU,64.0019,44.4451,41.29,89,54,7.67,broken clouds,2022-05-16 00:31:45
184,Mayumba,GA,-3.432,10.6554,76.95,93,80,4.23,broken clouds,2022-05-16 00:32:45
185,Tiksi,RU,71.6872,128.8694,15.78,92,83,5.19,broken clouds,2022-05-16 00:32:45
186,Mar Del Plata,AR,-38.0023,-57.5575,51.94,85,40,11.5,scattered clouds,2022-05-16 00:32:46
187,Ahipara,NZ,-35.1667,173.1667,68.16,78,46,12.3,scattered clouds,2022-05-16 00:29:51
188,Hamilton,US,39.1834,-84.5333,79.65,59,0,4.61,clear sky,2022-05-16 00:32:46
189,Kavieng,PG,-2.5744,150.7967,84.11,65,100,1.99,overcast clouds,2022-05-16 00:32:47
190,Pisco,PE,-13.7,-76.2167,65.01,88,6,4.61,mist,2022-05-16 00:32:47
191,Eydhafushi,MV,5.1033,73.0708,81.95,79,100,21.79,light rain,2022-05-16 00:32:47
192,Norman Wells,CA,65.282,-126.8329,55.44,44,75,16.11,broken clouds,2022-05-16 00:32:48
193,Coquimbo,CL,-29.9533,-71.3436,56.93,82,100,2.3,overcast clouds,2022-05-16 00:30:17
194,Meulaboh,ID,4.1363,96.1285,77.68,88,100,3.91,overcast clouds,2022-05-16 00:31:01
195,Namatanai,PG,-3.6667,152.4333,84.87,62,100,2.19,overcast clouds,2022-05-16 00:31:35
196,Wewak,PG,-3.5534,143.6268,81.81,77,99,3.6,overcast clouds,2022-05-16 00:31:13
197,Gigmoto,PH,13.7796,124.39,85.12,71,100,9.66,overcast clouds,2022-05-16 00:32:49
198,Jinxiang,CN,27.4327,120.6062,55.72,86,100,7.61,overcast clouds,2022-05-16 00:32:49
199,Amapa,BR,1.0,-52.0,73.08,99,100,1.95,overcast clouds,2022-05-16 00:32:49
200,San Cristobal,VE,7.7669,-72.225,77.18,94,99,2.68,overcast clouds,2022-05-16 00:32:50
201,Oranjemund,NA,-28.55,16.4333,71.65,25,0,14.05,clear sky,2022-05-16 00:32:50
202,Severo-Kurilsk,RU,50.6789,156.125,36.64,98,100,14.32,light rain,2022-05-16 00:32:51
203,Lorengau,PG,-2.0226,147.2712,84.6,62,100,4.43,overcast clouds,2022-05-16 00:32:51
204,Brae,GB,60.3964,-1.353,48.38,90,99,8.39,overcast clouds,2022-05-16 00:32:51
205,Takoradi,GH,4.8845,-1.7554,79.93,85,43,3.89,light rain,2022-05-16 00:32:52
206,Lethem,GY,3.3803,-59.7968,79.36,77,100,4.9,overcast clouds,2022-05-16 00:32:52
207,Bojnurd,IR,37.4747,57.329,46.35,81,0,2.3,clear sky,2022-05-16 00:32:53
208,Maloy,NO,61.9353,5.1136,43.74,87,38,14.65,scattered clouds,2022-05-16 00:32:53
209,Axim,GH,4.8699,-2.2405,78.82,88,86,3.38,light rain,2022-05-16 00:32:54
210,Tocopilla,CL,-22.092,-70.1979,64.04,68,100,6.53,overcast clouds,2022-05-16 00:32:54
211,Ewa Beach,US,21.3156,-158.0072,81.43,64,75,12.66,broken clouds,2022-05-16 00:32:54
212,Trelew,AR,-43.249,-65.3051,47.77,77,0,8.08,clear sky,2022-05-16 00:32:55
213,Nanortalik,GL,60.1432,-45.2371,30.52,83,96,5.68,overcast clouds,2022-05-16 00:32:55
214,Lompoc,US,34.6391,-120.4579,69.94,85,100,16.11,overcast clouds,2022-05-16 00:32:56
215,Ranot,TH,7.7777,100.3213,83.07,77,100,9.22,overcast clouds,2022-05-16 00:32:56
216,Bowen,AU,-20.0167,148.2333,79.2,65,0,2.57,clear sky,2022-05-16 00:32:56
217,Adrar,MR,20.5022,-10.0711,85.66,12,8,9.35,clear sky,2022-05-16 00:32:57
218,Lagos,NG,6.5833,3.75,82.72,95,100,3.8,overcast clouds,2022-05-16 00:32:57
219,Neepawa,CA,50.2289,-99.4664,61.2,63,14,10.92,few clouds,2022-05-16 00:32:58
220,Ngemplak,ID,-7.5497,110.7164,81.01,81,60,7.4,broken clouds,2022-05-16 00:32:58
221,Baghdad,IQ,33.3406,44.4009,82.31,26,17,18.41,dust,2022-05-16 00:28:48
222,Grindavik,IS,63.8424,-22.4338,49.95,93,100,24.16,overcast clouds,2022-05-16 00:32:58
223,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,87,61,30.51,broken clouds,2022-05-16 00:32:59
224,Nuevo Progreso,MX,23.1667,-97.95,83.53,57,0,4.0,clear sky,2022-05-16 00:32:59
225,Gushi,CN,34.6425,109.5843,70.84,28,10,11.77,clear sky,2022-05-16 00:33:00
226,Bykovo,RU,55.6361,38.0803,49.73,71,0,6.71,clear sky,2022-05-16 00:33:00
227,Majene,ID,-3.5403,118.9707,83.71,75,86,3.02,moderate rain,2022-05-16 00:33:00
228,Calama,CL,-22.4667,-68.9333,54.09,19,0,8.05,clear sky,2022-05-16 00:33:01
229,Airai,TL,-8.9266,125.4092,70.63,63,1,2.28,clear sky,2022-05-16 00:33:01
230,Sabha,LY,27.0377,14.4283,71.67,17,0,11.1,clear sky,2022-05-16 00:29:08
231,Nanyuki,KE,0.0167,37.0728,54.66,82,5,7.56,clear sky,2022-05-16 00:34:02
232,Cocorit,MX,27.5833,-109.9667,88.14,14,81,9.42,broken clouds,2022-05-16 00:34:02
233,Zeya,RU,53.75,127.2667,47.7,26,7,9.6,clear sky,2022-05-16 00:33:08
234,Cockburn Town,TC,21.4612,-71.1419,79.02,83,100,19.8,overcast clouds,2022-05-16 00:34:03
235,Kudat,MY,6.8837,116.8477,84.29,79,20,1.14,few clouds,2022-05-16 00:34:03
236,Kodinsk,RU,58.6881,99.1844,66.7,33,14,1.28,few clouds,2022-05-16 00:34:03
237,Sambava,MG,-14.2667,50.1667,70.68,79,17,9.42,few clouds,2022-05-16 00:29:06
238,Changping,CN,40.2186,116.2197,67.64,13,0,6.35,clear sky,2022-05-16 00:34:04
239,Bria,CF,6.5423,21.9863,69.46,82,37,3.89,scattered clouds,2022-05-16 00:34:04
240,Staryy Nadym,RU,65.6118,72.6842,47.01,81,24,7.43,few clouds,2022-05-16 00:34:05
241,Kikuyu,KE,-1.2458,36.6633,59.97,77,75,0.0,broken clouds,2022-05-16 00:34:05
